3cpio	0.14.0-1ubuntu1
libkf6newstuffcore6:amd64	6.24.0-0ubuntu1
libkf6newstuffwidgets6:amd64	6.24.0-0ubuntu1
libkf6notifications-data	6.24.0-0ubuntu1
libkf6notifications6:amd64	6.24.0-0ubuntu1
libkf6notifyconfig-data	6.24.0-0ubuntu1
libkf6notifyconfig6:amd64	6.24.0-0ubuntu1
libkf6package-data	6.24.0-0ubuntu1
libkf6package6:amd64	6.24.0-0ubuntu1
libkf6parts-data	6.24.0-0ubuntu1
libkf6parts6:amd64	6.24.0-0ubuntu1
libkf6prison6:amd64	6.24.0-0ubuntu1
libkf6prisonscanner6:amd64	6.24.0-0ubuntu1
libkf6purpose-bin:amd64	6.24.0-0ubuntu1
libkf6purpose-data	6.24.0-0ubuntu1
libkf6purpose6:amd64	6.24.0-0ubuntu1
libkf6purposewidgets6:amd64	6.24.0-0ubuntu1
libkf6qqc2desktopstyle-data	6.24.0-0ubuntu1
libkf6runner6:amd64	6.24.0-0ubuntu1
libkf6service-bin	6.24.0-0ubuntu1
libkf6service-data	6.24.0-0ubuntu1
libkf6service6:amd64	6.24.0-0ubuntu1
libkf6solid-data	6.24.0-0ubuntu1
libkf6solid6:amd64	6.24.0-0ubuntu1
libkf6sonnet-data	6.24.0-0ubuntu1
libkf6sonnetcore6:amd64	6.24.0-0ubuntu1
libkf6sonnetui6:amd64	6.24.0-0ubuntu1
libkf6style6:amd64	6.24.0-0ubuntu1
libkf6svg6:amd64	6.24.0-0ubuntu1
libkf6syndication6:amd64	6.24.0-0ubuntu1
libkf6syntaxhighlighting-data	6.24.0-0ubuntu1
libkf6syntaxhighlighting6:amd64	6.24.0-0ubuntu1
libkf6textwidgets-data	6.24.0-0ubuntu1
libkf6textwidgets6:amd64	6.24.0-0ubuntu1
libkf6wallet-data	6.24.0-0ubuntu1
libkf6wallet6:amd64	6.24.0-0ubuntu1
libkf6walletbackend6:amd64	6.24.0-0ubuntu1
libkf6widgetsaddons-data	6.24.0-0ubuntu1
libkf6widgetsaddons6:amd64	6.24.0-0ubuntu1
libkf6windowsystem-data	6.24.0-0ubuntu1
libkf6windowsystem6:amd64	6.24.0-0ubuntu1
libkf6xmlgui-data	6.24.0-0ubuntu1
libkf6xmlgui6:amd64	6.24.0-0ubuntu1
libkirigami-data	6.24.0-0ubuntu1
libkirigami6:amd64	6.24.0-0ubuntu1
libkirigamicontrols6:amd64	6.24.0-0ubuntu1
libkirigamidelegates6:amd64	6.24.0-0ubuntu1
libkirigamidialogs6:amd64	6.24.0-0ubuntu1
libkirigamilayouts6:amd64	6.24.0-0ubuntu1
libkirigamilayoutsprivate6:amd64	6.24.0-0ubuntu1
libkirigamiplatform6:amd64	6.24.0-0ubuntu1
libkirigamipolyfill6:amd64	6.24.0-0ubuntu1
libkirigamiprimitives6:amd64	6.24.0-0ubuntu1
libkirigamiprivate6:amd64	6.24.0-0ubuntu1
libkirigamitemplates6:amd64	6.24.0-0ubuntu1
libklibc:amd64	2.0.14-1ubuntu2
libkmlbase1t64:amd64	1.3.0-13
libkmldom1t64:amd64	1.3.0-13
libkmlengine1t64:amd64	1.3.0-13
libkmod2:amd64	34.2-2ubuntu2
libkpathsea6:amd64	2025.20250727.75242+ds-5build1
libkrb5-3:amd64	1.22.1-2ubuntu4.1
libkrb5support0:amd64	1.22.1-2ubuntu4.1
libksba8:amd64	1.6.7-2build1
libkyotocabinet16v5:amd64	1.2.80-2build1
liblangtag-common	0.6.8-2
liblangtag1:amd64	0.6.8-2
liblapack3:amd64	3.12.1-7ubuntu1
liblastlog2-2:amd64	2.41.3-3ubuntu2
liblc3-1:amd64	1.1.3+dfsg-1build1
liblcms2-2:amd64	2.17-1ubuntu0.2
liblcms2-utils	2.17-1ubuntu0.2
libldacbt-abr2:amd64	2.0.2.3+git20200429+ed310a0-5build1
libldacbt-enc2:amd64	2.0.2.3+git20200429+ed310a0-5build1
libldap-common	2.6.10+dfsg-1ubuntu5
libldap2:amd64	2.6.10+dfsg-1ubuntu5
libldb2:amd64	2:2.11.0+samba4.23.6+dfsg-1ubuntu2.2
libleptonica6:amd64	1.86.0-1
liblerc4:amd64	4.0.0+ds-5ubuntu2
liblilv-0-0:amd64	0.26.2-1
liblirc-client0t64:amd64	0.10.2-0.10ubuntu1
libllhttp9.3	9.3.3~really9.3.0+~cs12.11.8-3build1
libllvm21:amd64	1:21.1.8-6ubuntu1
libllvm21:i386	1:21.1.8-6ubuntu1
liblmdb0:amd64	0.9.31-1build2
liblocale-gettext-perl	1.07-8
liblouis-data	3.36.0-1
liblouis20:amd64	3.36.0-1
liblouisutdml-bin	2.12.0-8build1
liblouisutdml-data	2.12.0-8build1
liblouisutdml9t64:amd64	2.12.0-8build1
liblqr-1-0:amd64	0.4.2-2.2
liblrdf0:amd64	0.6.1-5
liblsan0:amd64	16-20260322-1ubuntu1
liblsof0	4.99.4+dfsg-2build2
libltc11:amd64	1.3.2-1build2
libltdl7:amd64	2.5.4-9
liblttng-ust-common1t64:amd64	2.14.0-1.1
liblttng-ust-ctl6:amd64	2.14.0-1.1
liblttng-ust1t64:amd64	2.14.0-1.1
liblua5.4-0:amd64	5.4.8-1build1
libluajit-5.1-2:amd64	2.1.0+openresty20251030-1
libluajit-5.1-common	2.1.0+openresty20251030-1
liblwp-mediatypes-perl	6.04-2
liblwp-protocol-https-perl	6.14-1
liblxc-common	1:5.0.3-2ubuntu7.2
liblz4-1:amd64	1.10.0-8
liblzma5:amd64	5.8.3-1
liblzma5:i386	5.8.3-1
liblzo2-2:amd64	2.10-3build2
libm17n-0:amd64	1.8.6-1
libmad0:amd64	0.16.4-2ubuntu1
libmagic-mgc	1:5.46-5build2
libmagic1t64:amd64	1:5.46-5build2
libmagick++-7.q16-5:amd64	8:7.1.2.18+dfsg1-1
libmagickcore-7.q16-10:amd64	8:7.1.2.18+dfsg1-1
libmagickcore-7.q16-10-extra:amd64	8:7.1.2.18+dfsg1-1
libmagickwand-7.q16-10:amd64	8:7.1.2.18+dfsg1-1
libmailtools-perl	2.22-1
libmailutils9t64:amd64	1:3.20-3build1
libmalcontent-0-0:amd64	0.14.0-0ubuntu1.1
libmalcontent-common	0.14.0-0ubuntu1.1
libmarisa0:amd64	0.2.6-14ubuntu4
libmarisa1:amd64	0.3.1+git20250817-1build1
libmaxminddb0:amd64	1.12.2-1build2
libmbedcrypto16:amd64	3.6.5-0.1ubuntu2
libmbedtls21:amd64	3.6.5-0.1ubuntu2
libmbedx509-7:amd64	3.6.5-0.1ubuntu2
libmbim-glib4:amd64	1.32.0-2ubuntu1
libmbim-proxy	1.32.0-2ubuntu1
libmbim-utils	1.32.0-2ubuntu1
libmd0:amd64	1.1.0-2build4
libmd0:i386	1.1.0-2build4
libmd4c0:amd64	0.5.2-2build1
libmediaart-2.0-0:amd64	1.9.7-3
libmediainfo0v5:amd64	26.01+dfsg-1
libmhash2:amd64	0.9.9.9-11
libminiupnpc21:amd64	2.3.3-2build1
libminizip1t64:amd64	1:1.3.dfsg+really1.3.1-1ubuntu3
libmjpegutils-2.2-0:amd64	1:2.2.1-3
libmlt++7:amd64	7.36.1-1ubuntu3
libmlt-data	7.36.1-1ubuntu3
libmlt7:amd64	7.36.1-1ubuntu3
libmm-glib0:amd64	1.25.95-1ubuntu1
libmnl0:amd64	1.0.5-3build1
libmodplug1:amd64	1:0.8.9.0-3build2
libmount-dev:amd64	2.41.3-3ubuntu2
libmount1:amd64	2.41.3-3ubuntu2
libmovit8:amd64	1.7.2-1
libmozjs-140-0:amd64	140.8.0-4
libmp3lame0:amd64	3.101~svn6525+dfsg-2
libmpathcmd0	0.14.3-2ubuntu1
libmpathpersist0	0.14.3-2ubuntu1
libmpc3:amd64	1.3.1-3
libmpcdec6:amd64	2:0.1~r495-3build1
libmpdclient2t64:amd64	2.22-1.1build2
libmpeg2-4:amd64	0.5.1-10
libmpeg2encpp-2.2-0:amd64	1:2.2.1-3
libmpfi0:amd64	1.5.4+ds-4build1
libmpfr6:amd64	4.2.2-3
libmpg123-0t64:amd64	1.33.3-2
libmplex2-2.2-0:amd64	1:2.2.1-3
libmsgraph-1-1:amd64	0.3.3-3build1
libmspub-0.1-1:amd64	0.1.4-4build1
libmtdev1t64:amd64	1.1.7-1build1
libmtp-common	1.1.22-1ubuntu1
libmtp-runtime	1.1.22-1ubuntu1
libmtp9t64:amd64	1.1.22-1ubuntu1
libmu-dbm9t64:amd64	1:3.20-3build1
libmujs3:amd64	1.3.8-2
libmultipath0	0.14.3-2ubuntu1
libmuparser2v5:amd64	2.3.4-2
libmupdf27.0	1.27.0+ds1-3ubuntu2
libmutter-18-0:amd64	50.1-0ubuntu2.2
libmwaw-0.3-3:amd64	0.3.22-2
libmysofa1:amd64	1.3.3+dfsg-1ubuntu2
libmysqlclient21:amd64	8.0.45-0ubuntu0.24.04.1
libmysqlclient24:amd64	8.4.10-0ubuntu0.26.04.1
libmythes-1.2-0:amd64	2:1.2.5-2build1
libnatpmp1t64:amd64	20230423-1.2build4
libnautilus-extension4:amd64	1:50.0-0ubuntu2
libncurses6:amd64	6.6+20251231-1
libncursesw6:amd64	6.6+20251231-1
libndctl6:amd64	81-1ubuntu1
libndp0:amd64	1.9-1build1
libneon27t64:amd64	0.36.0-1
libnet-dbus-perl	1.2.0-2build4
libnet-http-perl	6.24-1build1
libnet-smtp-ssl-perl	1.04-2
libnet-ssleay-perl:amd64	1.94-3
libnet9:amd64	1.3+dfsg-3
libnetcdf22:amd64	1:4.9.3-1build2
libnetfilter-conntrack3:amd64	1.1.1-1
libnetpbm11t64:amd64	2:11.10.02-1build1
libnetplan1:amd64	1.2-1ubuntu5
libnettle8t64:amd64	3.10.2-1
libnewt0.52:amd64	0.52.25-1ubuntu3
libnfnetlink0:amd64	1.0.2-3build1
libnfs14:amd64	5.0.2-1ubuntu1.1
libnfsidmap1:amd64	1:2.8.5-1ubuntu1
libnftables1:amd64	1.1.6-1
libnftnl11:amd64	1.3.1-1
libnghttp2-14:amd64	1.68.0-2ubuntu0.2
libnice10:amd64	0.1.23-2
libnl-3-200:amd64	3.12.0-2
libnl-genl-3-200:amd64	3.12.0-2
libnl-route-3-200:amd64	3.12.0-2
libnm0:amd64	1.54.3-2ubuntu3
libnma-common	1.10.6-7
libnma-gtk4-0:amd64	1.10.6-7
libnma0:amd64	1.10.6-7
libnode-dev	22.22.1+dfsg+~cs22.19.15-1ubuntu1
libnode127:amd64	22.22.1+dfsg+~cs22.19.15-1ubuntu1
libnorm1t64:amd64	1.5.9+dfsg-4
libnotify-bin	0.8.8-1
libnotify4:amd64	0.8.8-1
libnpth0t64:amd64	1.8-3build1
libnsl2:amd64	1.3.0-3build4
libnspr4:amd64	2:4.38.2-1ubuntu1
libnss-mdns:amd64	0.15.1-5
libnss-sss:amd64	2.12.0-1ubuntu5.1
libnss-systemd:amd64	259.5-0ubuntu3
libnss3:amd64	2:3.120-1ubuntu2.1
libntfs-3g89t64:amd64	1:2022.10.3-5ubuntu1.1
libntlm0:amd64	1.8-6
libnuma1:amd64	2.0.19-1build1
libnvidia-cfg1-580:amd64	580.159.03-0ubuntu0.26.04.1
libnvidia-common-580	580.159.03-0ubuntu0.26.04.1
libnvidia-compute-580:amd64	580.159.03-0ubuntu0.26.04.1
libnvidia-compute-580:i386	580.159.03-0ubuntu0.26.04.1
libnvidia-container-tools	1.19.1-1
libnvidia-container1:amd64	1.19.1-1
libnvidia-decode-580:amd64	580.159.03-0ubuntu0.26.04.1
libnvidia-decode-580:i386	580.159.03-0ubuntu0.26.04.1
libnvidia-egl-wayland1:amd64	1:1.1.21-1
libnvidia-egl-wayland1:i386	1:1.1.21-1
libnvidia-encode-580:amd64	580.159.03-0ubuntu0.26.04.1
libnvidia-encode-580:i386	580.159.03-0ubuntu0.26.04.1
libnvidia-extra-580:amd64	580.159.03-0ubuntu0.26.04.1
libnvidia-fbc1-580:amd64	580.159.03-0ubuntu0.26.04.1
libnvidia-fbc1-580:i386	580.159.03-0ubuntu0.26.04.1
libnvidia-gl-580:amd64	580.159.03-0ubuntu0.26.04.1
libnvidia-gl-580:i386	580.159.03-0ubuntu0.26.04.1
libnvme1t64:amd64	1.16.1-4
liboauth0:amd64	1.0.3-5build3
libodbc2:amd64	2.3.14-1
libodbccr2:amd64	2.3.14-1
libodbcinst2:amd64	2.3.14-1
libodfgen-0.1-1:amd64	0.1.8-3build1
liboeffis1:amd64	1.5.0-3
libogg0:amd64	1.3.6-2
libole-storage-lite-perl	0.24-1
libonig5:amd64	6.9.10-1build1
libonnx1t64:amd64	1.20.0-1
libonnxruntime-providers:amd64	1.23.2+dfsg-6ubuntu1
libonnxruntime1.23:amd64	1.23.2+dfsg-6ubuntu1
libopenal-data	1:1.25.1-2
libopenal1:amd64	1:1.25.1-2
libopenblas0:amd64	0.3.32+ds-5
libopenblas0-pthread:amd64	0.3.32+ds-5
libopencc-data	1.1.9+ds1-4build1
libopencc1.1	1.1.9+ds1-4build1
libopencore-amrnb0:amd64	0.1.6-1build2
libopencore-amrwb0:amd64	0.1.6-1build2
libopencsg1:amd64	1.5.0-1build3
libopencv-calib3d410:amd64	4.10.0+dfsg-7ubuntu5
libopencv-contrib410:amd64	4.10.0+dfsg-7ubuntu5
libopencv-core410:amd64	4.10.0+dfsg-7ubuntu5
libopencv-dnn410:amd64	4.10.0+dfsg-7ubuntu5
libopencv-features2d410:amd64	4.10.0+dfsg-7ubuntu5
libopencv-flann410:amd64	4.10.0+dfsg-7ubuntu5
libopencv-highgui410:amd64	4.10.0+dfsg-7ubuntu5
libopencv-imgcodecs410:amd64	4.10.0+dfsg-7ubuntu5
libopencv-imgproc410:amd64	4.10.0+dfsg-7ubuntu5
libopencv-ml410:amd64	4.10.0+dfsg-7ubuntu5
libopencv-objdetect410:amd64	4.10.0+dfsg-7ubuntu5
libopencv-video410:amd64	4.10.0+dfsg-7ubuntu5
libopenexr-3-1-30:amd64	3.1.13-2build1
libopengl0:amd64	1.7.0-3
libopenh264-8:amd64	2.6.0+dfsg-2build1
libopenjp2-7:amd64	2.5.4-1ubuntu0.1
libopenmpt0t64:amd64	0.8.4-1
libopenni2-0:amd64	2.2.0.33+dfsg-19
libopenshot-audio10:amd64	0.5.0+dfsg1-1build1
libopenshot28:amd64	0.5.0+dfsg1-1build2
libopentimelineio0:amd64	0.18.1-1fakesync1
libopus0:amd64	1.6.1-1
liborc-0.4-0t64:amd64	1:0.4.42-2
liborcus-0.21-0:amd64	0.21.0-4
liborcus-parser-0.21-0:amd64	0.21.0-4
libosinfo-1.0-0:amd64	1.12.0-3build1
libosinfo-l10n	1.12.0-3build1
libostree-1-1:amd64	2025.7-3build1
libotf1:amd64	0.9.16-4build3
libp11-kit0:amd64	0.26.2-2
libpackagekit-glib2-18:amd64	1.3.4-3ubuntu1
libpagemaker-0.0-0:amd64	0.0.4-1build5
libpam-cap:amd64	1:2.75-10ubuntu2
libpam-fprintd:amd64	1.94.5-4
libpam-gnome-keyring:amd64	50.0-1
libpam-modules:amd64	1.7.0-5ubuntu3.1
libpam-modules-bin	1.7.0-5ubuntu3.1
libpam-pwquality:amd64	1.4.5-5build1
libpam-runtime	1.7.0-5ubuntu3.1
libpam-sss:amd64	2.12.0-1ubuntu5.1
libpam-systemd:amd64	259.5-0ubuntu3
libpam0g:amd64	1.7.0-5ubuntu3.1
libpanel-1-1:amd64	1.10.3-1
libpanel-common	1.10.3-1
libpango-1.0-0:amd64	1.57.0-1
libpangocairo-1.0-0:amd64	1.57.0-1
libpangoft2-1.0-0:amd64	1.57.0-1
libpangomm-1.4-1v5:amd64	2.46.4-2
libpangomm-2.48-1t64:amd64	2.56.1-2
libpangoxft-1.0-0:amd64	1.57.0-1
libpaper-utils	2.2.5-0.3maysync1
libpaper2:amd64	2.2.5-0.3maysync1
libparse-recdescent-perl	1.967015+dfsg-4
libparted2t64:amd64	3.6-6
libpath-utils1t64:amd64	0.6.2-3build1
libpcap0.8t64:amd64	1.10.6-1ubuntu1
libpcaudio0:amd64	1.3-1build1
libpci3:amd64	1:3.14.0-1build2
libpciaccess0:amd64	0.18.1-1ubuntu4
libpciaccess0:i386	0.18.1-1ubuntu4
libpcre2-16-0:amd64	10.46-1build1
libpcre2-32-0:amd64	10.46-1build1
libpcre2-8-0:amd64	10.46-1build1
libpcre2-dev:amd64	10.46-1build1
libpcre2-posix3:amd64	10.46-1build1
libpcsc-perl	1.4.16-2
libpcsclite1:amd64	2.4.1-1
libpdfbox-java	1:1.8.16-5
libpeas-1.0-1:amd64	1.38.1-4ubuntu1
libpeas-common	1.38.1-4ubuntu1
libperl5.40:amd64	5.40.1-7ubuntu0.1
libpgm-5.3-0t64:amd64	5.3.128~dfsg-2.1build2
libphonenumber8:amd64	8.13.51+ds-5
libpinyin-data:amd64	2.10.3-1
libpinyin15:amd64	2.10.3-1
libpipeline1:amd64	1.5.8-2
libpipewire-0.3-0t64:amd64	1.6.2-1ubuntu1.1
libpipewire-0.3-common	1.6.2-1ubuntu1.1
libpipewire-0.3-modules:amd64	1.6.2-1ubuntu1.1
libpixman-1-0:amd64	0.46.4-1
libpixman-1-dev:amd64	0.46.4-1
libpkcs11-helper1t64:amd64	1.31.0-1
libpkgconf7:amd64	2.5.1-4
libplacebo360:amd64	7.360.0-3
libplasma7:amd64	6.6.4-0ubuntu1
libplasmaactivities-data	6.6.4-0ubuntu1
libplasmaactivities7:amd64	6.6.4-0ubuntu1
libplasmaquick7:amd64	6.6.4-0ubuntu1
libplayerctl2:amd64	2.4.1-3build1
libplist-2.0-4:amd64	2.7.0+git20250820-1build1
libplymouth5:amd64	24.004.60+git20250831.4a3c171d-0ubuntu8
libpmem1:amd64	1.13.1-1.1ubuntu4
libpmemobj1:amd64	1.13.1-1.1ubuntu4
libpng-dev:amd64	1.6.57-1
libpng-tools	1.6.57-1
libpng16-16t64:amd64	1.6.57-1
libpolkit-agent-1-0:amd64	127-2ubuntu1
libpolkit-gobject-1-0:amd64	127-2ubuntu1
libpolkit-qt5-1-1:amd64	0.200.0-4ubuntu1
libpolkit-qt6-1-1:amd64	0.200.0-4ubuntu1
libpoppler-cpp3:amd64	26.01.0-2ubuntu0.1
libpoppler-glib8t64:amd64	26.01.0-2ubuntu0.1
libpoppler-qt6-3t64:amd64	26.01.0-2ubuntu0.1
libpoppler156:amd64	26.01.0-2ubuntu0.1
libpopt0:amd64	1.19+dfsg-2build1
libportal-gtk3-1:amd64	0.9.1-2build1
libportal-gtk4-1:amd64	0.9.1-2build1
libportal1:amd64	0.9.1-2build1
libpotrace0:amd64	1.16-2build2
libppd2:amd64	2:2.1.1-0ubuntu2
libppd2-common	2:2.1.1-0ubuntu2
libppsdocument-4.0-6:amd64	50.1-0ubuntu1.1
libppsview-4.0-5:amd64	50.1-0ubuntu1.1
libpq5:amd64	18.4-0ubuntu0.26.04.1
libproc2-0:amd64	2:4.0.4-9ubuntu1
libproj25:amd64	9.7.1-1
libprotobuf-c1:amd64	1.5.1-1ubuntu2
libprotobuf32t64:amd64	3.21.12-15ubuntu1
libproxy1v5:amd64	0.5.12-1
libpsl5t64:amd64	0.21.2-1.1build2
libptexenc1:amd64	2025.20250727.75242+ds-5build1
libpthreadpool0:amd64	0.0~git20251020.0e6ca13-1
libpulse-mainloop-glib0:amd64	1:17.0+dfsg1-2ubuntu4
libpulse0:amd64	1:17.0+dfsg1-2ubuntu4
libpulsedsp:amd64	1:17.0+dfsg1-2ubuntu4
libpwquality-common	1.4.5-5build1
libpwquality1:amd64	1.4.5-5build1
libpython3-dev:amd64	3.14.3-0ubuntu2
libpython3-stdlib:amd64	3.14.3-0ubuntu2
libpython3.12-minimal:amd64	3.12.3-1ubuntu0.13
libpython3.12-stdlib:amd64	3.12.3-1ubuntu0.13
libpython3.12t64:amd64	3.12.3-1ubuntu0.13
libpython3.14:amd64	3.14.4-1ubuntu0.1
libpython3.14-dev:amd64	3.14.4-1ubuntu0.1
libpython3.14-minimal:amd64	3.14.4-1ubuntu0.1
libpython3.14-stdlib:amd64	3.14.4-1ubuntu0.1
libqalculate-data	5.9.0-1
libqalculate23:amd64	5.9.0-1
libqca-qt6-2:amd64	2.3.10-2
libqhull-r8.0:amd64	2020.2-8
libqmi-glib5:amd64	1.38.0-1
libqmi-proxy	1.38.0-1
libqmi-utils	1.38.0-1
libqpdf30:amd64	12.3.2-1
libqrcodegencpp1:amd64	1.8.0-1.2build2
libqrencode4:amd64	4.1.1-2build1
libqrtr-glib0:amd64	1.2.2-2ubuntu1
libqscintilla2-qt5-15:amd64	2.14.1+dfsg-2
libqscintilla2-qt5-l10n	2.14.1+dfsg-2
libqt5core5t64:amd64	5.15.18+dfsg-1ubuntu1
libqt5dbus5t64:amd64	5.15.18+dfsg-1ubuntu1
libqt5designer5:amd64	5.15.18-1
libqt5gamepad5:amd64	5.15.18-1
libqt5gui5t64:amd64	5.15.18+dfsg-1ubuntu1
libqt5help5:amd64	5.15.18-1
libqt5multimedia5:amd64	5.15.18-1
libqt5network5t64:amd64	5.15.18+dfsg-1ubuntu1
libqt5opengl5t64:amd64	5.15.18+dfsg-1ubuntu1
libqt5positioning5:amd64	5.15.18+dfsg-1
libqt5printsupport5t64:amd64	5.15.18+dfsg-1ubuntu1
libqt5qml5:amd64	5.15.18+dfsg-2
libqt5qmlmodels5:amd64	5.15.18+dfsg-2
libqt5quick5:amd64	5.15.18+dfsg-2
libqt5quickcontrols2-5:amd64	5.15.18+dfsg-1
libqt5quicktemplates2-5:amd64	5.15.18+dfsg-1
libqt5quickwidgets5:amd64	5.15.18+dfsg-2
libqt5sql5-sqlite:amd64	5.15.18+dfsg-1ubuntu1
libqt5sql5t64:amd64	5.15.18+dfsg-1ubuntu1
libqt5svg5:amd64	5.15.18-1
libqt5test5t64:amd64	5.15.18+dfsg-1ubuntu1
libqt5waylandclient5:amd64	5.15.18-1
libqt5waylandcompositor5:amd64	5.15.18-1
libqt5webchannel5:amd64	5.15.18-1
libqt5webengine-data	5.15.19+dfsg2-4
libqt5webengine5:amd64	5.15.19+dfsg2-4
libqt5webenginecore5:amd64	5.15.19+dfsg2-4
libqt5webenginewidgets5:amd64	5.15.19+dfsg2-4
libqt5widgets5t64:amd64	5.15.18+dfsg-1ubuntu1
libqt5x11extras5:amd64	5.15.18-1
libqt5xml5t64:amd64	5.15.18+dfsg-1ubuntu1
libqt6concurrent6:amd64	6.10.2+dfsg-7
libqt6core5compat6:amd64	6.10.2-1
libqt6core6t64:amd64	6.10.2+dfsg-7
libqt6dbus6:amd64	6.10.2+dfsg-7
libqt6gui6:amd64	6.10.2+dfsg-7
libqt6labsplatform6:amd64	6.10.2+dfsg-3
libqt6labssynchronizer6:amd64	6.10.2+dfsg-3
libqt6multimedia6:amd64	6.10.2-2
libqt6multimediawidgets6:amd64	6.10.2-2
libqt6network6:amd64	6.10.2+dfsg-7
libqt6networkauth6:amd64	6.10.2-1
libqt6opengl6:amd64	6.10.2+dfsg-7
libqt6positioning6:amd64	6.10.2-1
libqt6positioning6-plugins:amd64	6.10.2-1
libqt6positioningquick6:amd64	6.10.2-1
libqt6printsupport6:amd64	6.10.2+dfsg-7
libqt6qml6:amd64	6.10.2+dfsg-3
libqt6qmlmeta6:amd64	6.10.2+dfsg-3
libqt6qmlmodels6:amd64	6.10.2+dfsg-3
libqt6qmlworkerscript6:amd64	6.10.2+dfsg-3
libqt6quick6:amd64	6.10.2+dfsg-3
libqt6quickcontrols2-6:amd64	6.10.2+dfsg-3
libqt6quickshapes6:amd64	6.10.2+dfsg-3
libqt6quicktemplates2-6:amd64	6.10.2+dfsg-3
libqt6quickwidgets6:amd64	6.10.2+dfsg-3
libqt6serialport6:amd64	6.10.2-1
libqt6shadertools6:amd64	6.10.2-1
libqt6sql6:amd64	6.10.2+dfsg-7
libqt6sql6-sqlite:amd64	6.10.2+dfsg-7
libqt6statemachine6:amd64	6.10.2-1
libqt6svg6:amd64	6.10.2-2
libqt6svgwidgets6:amd64	6.10.2-2
libqt6texttospeech6:amd64	6.10.2-1
libqt6waylandclient6:amd64	6.10.2+dfsg-7
libqt6waylandcompositor6:amd64	6.10.2-4
libqt6webchannel6:amd64	6.10.2-1
libqt6webchannelquick6:amd64	6.10.2-1
libqt6webengine6-data	6.10.2+dfsg-1
libqt6webenginecore6:amd64	6.10.2+dfsg-1
libqt6webenginecore6-bin	6.10.2+dfsg-1
libqt6webenginequick6:amd64	6.10.2+dfsg-1
libqt6websockets6:amd64	6.10.2-1
libqt6widgets6:amd64	6.10.2+dfsg-7
libqt6wlshellintegration6:amd64	6.10.2+dfsg-7
libqt6xml6:amd64	6.10.2+dfsg-7
libqtermwidget6-2:amd64	2.3.0-0ubuntu1
libquadmath0:amd64	16-20260322-1ubuntu1
libquazip1-qt6-1t64:amd64	1.5-1
librabbitmq4:amd64	0.15.0-1ubuntu0.26.04.1
librados2	20.2.0-0ubuntu2
libraptor2-0:amd64	2.0.16-6build1
libraqm0:amd64	0.10.4-1
librasqal3t64:amd64	0.9.33-3
librav1e0.8:amd64	0.8.1-7
libraw1394-11:amd64	2.1.2-2build4
libraw23t64:amd64	0.21.5b-1ubuntu1.1
librbd1	20.2.0-0ubuntu2
librdf0t64:amd64	1.0.17-8
librdmacm1t64:amd64	61.0-2ubuntu3
libre2-11:amd64	20250805-1build3
libreadline8t64:amd64	8.3-4
libref-array1t64:amd64	0.6.2-3build1
libreoffice-base-core	4:26.2.4.2-0ubuntu0.26.04.2
libreoffice-calc	4:26.2.4.2-0ubuntu0.26.04.2
libreoffice-common	4:26.2.4.2-0ubuntu0.26.04.2
libreoffice-core	4:26.2.4.2-0ubuntu0.26.04.2
libreoffice-draw	4:26.2.4.2-0ubuntu0.26.04.2
libreoffice-gnome	4:26.2.4.2-0ubuntu0.26.04.2
libreoffice-gtk3	4:26.2.4.2-0ubuntu0.26.04.2
libreoffice-help-common	4:26.2.4.2-0ubuntu0.26.04.2
libreoffice-help-en-gb	4:26.2.4.2-0ubuntu0.26.04.2
libreoffice-help-en-us	4:26.2.4.2-0ubuntu0.26.04.2
libreoffice-impress	4:26.2.4.2-0ubuntu0.26.04.2
libreoffice-l10n-en-gb	4:26.2.4.2-0ubuntu0.26.04.2
libreoffice-l10n-en-za	4:26.2.4.2-0ubuntu0.26.04.2
libreoffice-math	4:26.2.4.2-0ubuntu0.26.04.2
libreoffice-style-colibre	4:26.2.4.2-0ubuntu0.26.04.2
libreoffice-style-elementary	4:26.2.4.2-0ubuntu0.26.04.2
libreoffice-style-yaru	4:26.2.4.2-0ubuntu0.26.04.2
libreoffice-uiconfig-calc	4:26.2.4.2-0ubuntu0.26.04.2
libreoffice-uiconfig-common	4:26.2.4.2-0ubuntu0.26.04.2
libreoffice-uiconfig-draw	4:26.2.4.2-0ubuntu0.26.04.2
libreoffice-uiconfig-impress	4:26.2.4.2-0ubuntu0.26.04.2
libreoffice-uiconfig-math	4:26.2.4.2-0ubuntu0.26.04.2
libreoffice-uiconfig-writer	4:26.2.4.2-0ubuntu0.26.04.2
libreoffice-writer	4:26.2.4.2-0ubuntu0.26.04.2
librest-1.0-0:amd64	0.10.2-1
librevenge-0.0-0:amd64	0.0.5-3build2
librhythmbox-core10:amd64	3.4.9-3ubuntu3
librist4:amd64	0.2.11+dfsg-1build1
libroc0.4:amd64	0.4.0+dfsg-5ubuntu3.1
librsvg2-2:amd64	2.61.3+dfsg-3
librsvg2-common:amd64	2.61.3+dfsg-3
librsync2t64:amd64	2.3.4-1.1ubuntu3
librtaudio7:amd64	6.0.1~ds-2build1
librtmp1:amd64	2.4+20151223.gitfa8646d.1-3
librttopo1:amd64	1.1.0-4build1
librubberband3:amd64	4.0.0+dfsg-2ubuntu1
libruby:amd64	1:3.3build1
