3cpio	0.14.0-1ubuntu1
gcc-x86-64-linux-gnu	4:15.2.0-5ubuntu1
gcr	3.41.2-6
gcr4	4.4.0.1-8
gdal-data	3.12.2+dfsg-1build2
gdal-plugins:amd64	3.12.2+dfsg-1build2
gdb	17.1-2ubuntu1
gdisk	1.0.10-2build1
gdm3	50.0-0ubuntu1
geoclue-2.0	2.7.2-2ubuntu3
geocode-glib-common	3.26.4-3
gettext-base	0.23.2-1
ghostscript	10.06.0~dfsg-3ubuntu1
ghostty	1.3.1ppa11
gir1.2-accountsservice-1.0:amd64	23.13.9-8ubuntu5.2
gir1.2-adw-1:amd64	1.9.0-0ubuntu1
gir1.2-appindicator3-0.1	12.10.1+20.10.20200706.1-0ubuntu7
gir1.2-atk-1.0:amd64	2.60.0-1
gir1.2-atspi-2.0:amd64	2.60.0-1
gir1.2-colord-1.0:amd64	1.4.8-3
gir1.2-dbusmenu-glib-0.4:amd64	18.10.20180917~bzr492+repack1-4build1
gir1.2-dee-1.0:amd64	1.2.7+17.10.20170616-8build1
gir1.2-freedesktop:amd64	1.86.0-6build1
gir1.2-gck-2:amd64	4.4.0.1-8
gir1.2-gcr-4:amd64	4.4.0.1-8
gir1.2-gdesktopenums-3.0:amd64	50.0-1ubuntu2
gir1.2-gdkpixbuf-2.0:amd64	2.44.5+dfsg-4ubuntu1
gir1.2-gdm-1.0	50.0-0ubuntu1
gir1.2-geoclue-2.0:amd64	2.7.2-2ubuntu3
gir1.2-girepository-3.0:amd64	2.88.0-1
gir1.2-glib-2.0:amd64	2.88.0-1
gir1.2-gmenu-3.0:amd64	3.38.1-1ubuntu1
gir1.2-gnomeautoar-0.1:amd64	0.4.5-5
gir1.2-gnomebg-4.0:amd64	44.5-1ubuntu1
gir1.2-gnomebluetooth-3.0:amd64	47.1-5
gir1.2-gnomedesktop-3.0:amd64	44.5-1ubuntu1
gir1.2-gnomedesktop-4.0:amd64	44.5-1ubuntu1
gir1.2-gnomeqr-4.0:amd64	44.5-1ubuntu1
gir1.2-graphene-1.0:amd64	1.10.8-5build1
gir1.2-gst-plugins-base-1.0:amd64	1.28.2-1
gir1.2-gst-plugins-extra-1.0:amd64	1.28.2-1ubuntu1.1
gir1.2-gstreamer-1.0:amd64	1.28.2-1
gir1.2-gtk-3.0:amd64	3.24.52-0ubuntu1
gir1.2-gtk-4.0:amd64	4.22.4+ds-0ubuntu0.1
gir1.2-gudev-1.0:amd64	1:238-7build1
gir1.2-gweather-4.0:amd64	4.4.4-4
gir1.2-handy-1:amd64	1.8.3-3build1
gir1.2-harfbuzz-0.0:amd64	12.3.2-2
gir1.2-ibus-1.0:amd64	1.5.34~rc2-1
gir1.2-javascriptcoregtk-4.1:amd64	2.52.3-0ubuntu0.26.04.2
gir1.2-mutter-18:amd64	50.1-0ubuntu2.2
gir1.2-nm-1.0:amd64	1.54.3-2ubuntu3
gir1.2-nma4-1.0:amd64	1.10.6-7
gir1.2-notify-0.7:amd64	0.8.8-1
gir1.2-packagekitglib-1.0	1.3.4-3ubuntu1
gir1.2-pango-1.0:amd64	1.57.0-1
gir1.2-peas-1.0:amd64	1.38.1-4ubuntu1
gir1.2-polkit-1.0:amd64	127-2ubuntu1
gir1.2-rb-3.0:amd64	3.4.9-3ubuntu3
gir1.2-rsvg-2.0:amd64	2.61.3+dfsg-3
gir1.2-secret-1:amd64	0.21.7-2build1
gir1.2-snapd-2:amd64	1.72-0ubuntu3
gir1.2-soup-3.0:amd64	3.6.6-1
gir1.2-udisks-2.0:amd64	2.10.91-1ubuntu2
gir1.2-unity-7.0:amd64	7.1.4+19.04.20190319-6.1ubuntu1
gir1.2-upowerglib-1.0:amd64	1.91.1-1
gir1.2-vte-2.91:amd64	0.84.0-2
gir1.2-webkit2-4.1:amd64	2.52.3-0ubuntu0.26.04.2
gir1.2-wnck-3.0:amd64	43.3-1build1
girepository-tools:amd64	2.88.0-1
git	1:2.53.0-1ubuntu1
git-man	1:2.53.0-1ubuntu1
gjs	1.88.0-1
glib-networking:amd64	2.80.1-1build2
glib-networking-common	2.80.1-1build2
glib-networking-services	2.80.1-1build2
glycin-loaders	2.1.1+ds-0ubuntu1
glycin-thumbnailers	2.1.1+ds-0ubuntu1
gnome-accessibility-themes	3.28-5
gnome-bluetooth-3-common	47.1-5
gnome-bluetooth-sendto	47.1-5
gnome-browser-connector	42.1-7
gnome-calculator	1:50.0-1ubuntu1
gnome-calendar	50.0-1
gnome-characters	50.0-1
gnome-clocks	50.0-1
gnome-control-center	1:50.0-0ubuntu6.1
gnome-control-center-data	1:50.0-0ubuntu6.1
gnome-control-center-faces	1:50.0-0ubuntu6.1
gnome-desktop3-data	44.5-1ubuntu1
gnome-disk-utility	46.1-2ubuntu2
gnome-font-viewer	49.0-1
gnome-icon-theme	3.12.0-7
gnome-initial-setup	50.0-0ubuntu7
gnome-keyring	50.0-1
gnome-keyring-pkcs11:amd64	50.0-1
gnome-logs	49.0-1
gnome-menus	3.38.1-1ubuntu1
gnome-online-accounts	3.58.0-1
gnome-remote-desktop	50.0-0ubuntu2
gnome-session	50.0-0ubuntu3.2
gnome-session-bin	50.0-0ubuntu3.2
gnome-session-canberra	0.30-18ubuntu3
gnome-session-common	50.0-0ubuntu3.2
gnome-settings-daemon	50.0-1ubuntu1
gnome-settings-daemon-common	50.0-1ubuntu1
gnome-shell	50.1-0ubuntu1
gnome-shell-common	50.1-0ubuntu1
gnome-shell-extension-desktop-icons-ng	46+really47.0.9-1ubuntu5
gnome-shell-extension-manager	0.6.5-1
gnome-shell-extension-prefs	50.1-0ubuntu1
gnome-shell-ubuntu-extensions	50.26.04.7ubuntu
gnome-snapshot	50.0-0ubuntu1
gnome-system-monitor	49.1-2
gnome-terminal	3.58.0-1ubuntu1
gnome-terminal-data	3.58.0-1ubuntu1
gnome-text-editor	50.0-1
gnome-themes-extra:amd64	3.28-5
gnome-themes-extra-data	3.28-5
gnome-tweaks	49.0-1
gnome-user-docs	50.0-0ubuntu1
gnu-coreutils	9.7-3ubuntu2
gnupg	2.4.8-4ubuntu3
gnupg-l10n	2.4.8-4ubuntu3
gnupg-utils	2.4.8-4ubuntu3
golang-github-containers-common	0.66.0+ds2-3
golang-github-containers-image	5.38.0+ds2-2
google-chrome-stable	149.0.7827.155-1
gpg	2.4.8-4ubuntu3
gpg-agent	2.4.8-4ubuntu3
gpg-wks-client	2.4.8-4ubuntu3
gpgconf	2.4.8-4ubuntu3
gpgsm	2.4.8-4ubuntu3
gpgv	2.4.8-4ubuntu3
grep	3.12-1
grilo-plugins-0.3:amd64	0.3.18-1ubuntu1
grim	1.4.0+ds-2build3
groff-base	1.23.0-10
grub-common	2.14-2ubuntu2
grub-efi-amd64	2.14-2ubuntu1
grub-efi-amd64-bin	2.14-2ubuntu1
grub-efi-amd64-signed	1.215+2.14-2ubuntu1
grub-efi-amd64-unsigned	2.14-2ubuntu1
grub2-common	2.14-2ubuntu2
gsasl-common	2.2.2-4ubuntu1.1
gsettings-desktop-schemas	50.0-1ubuntu2
gsettings-ubuntu-schemas	0.0.7+21.10.20210712-0ubuntu4
gst-audio-thumbnailer	1.0.0-0ubuntu1
gst-video-thumbnailer	1.0.0-0ubuntu1
gstreamer1.0-alsa:amd64	1.28.2-1
gstreamer1.0-gl:amd64	1.28.2-1
gstreamer1.0-gtk3:amd64	1.28.2-2ubuntu0.1
gstreamer1.0-gtk4:amd64	0.14.4-1ubuntu1
gstreamer1.0-libav:amd64	1.28.2-1
gstreamer1.0-libcamera:amd64	0.7.0-1ubuntu2
gstreamer1.0-packagekit	1.3.4-3ubuntu1
gstreamer1.0-pipewire:amd64	1.6.2-1ubuntu1.1
gstreamer1.0-plugins-bad:amd64	1.28.2-1ubuntu1.1
gstreamer1.0-plugins-base:amd64	1.28.2-1
gstreamer1.0-plugins-base-apps	1.28.2-1
gstreamer1.0-plugins-extra:amd64	1.28.2-1ubuntu1.1
gstreamer1.0-plugins-good:amd64	1.28.2-2ubuntu0.1
gstreamer1.0-plugins-ugly:amd64	1.28.2-1
gstreamer1.0-tools	1.28.2-1
gstreamer1.0-x:amd64	1.28.2-1
gtk-update-icon-cache	4.22.4+ds-0ubuntu0.1
gtk2-engines-murrine:amd64	0.98.2-4ubuntu1
gtk2-engines-pixbuf:amd64	2.24.33-10
guile-3.0-libs:amd64	3.0.11-2
gvfs:amd64	1.60.0-1
gvfs-backends	1.60.0-1
gvfs-common	1.60.0-1
gvfs-daemons	1.60.0-1
gvfs-fuse	1.60.0-1
gvfs-libs:amd64	1.60.0-1
gyp	0.16.2-2build1
gzip	1.14-1~exp2ubuntu1.1
handlebars	3:4.7.7+~4.1.0-1
hdparm	9.65+ds-1.1build1
heif-gdk-pixbuf:amd64	1.21.2-3ubuntu0.3
heif-thumbnailer	1.21.2-3ubuntu0.3
hicolor-icon-theme	0.18-2build1
hostname	3.25build1
hplip	3.24.4+dfsg0-0ubuntu8.1
hplip-data	3.24.4+dfsg0-0ubuntu8.1
htop	3.4.1-5build2
humanity-icon-theme	0.6.16build1
hunspell-en-au	1:2020.12.07-4build1
hunspell-en-ca	1:2020.12.07-4build1
hunspell-en-gb	1:25.2.3-1build1
hunspell-en-us	1:2020.12.07-4build1
hunspell-en-za	1:25.2.3-1build1
hunspell-fr-classical	1:7.7-1
hwctl	0.11.0-0ubuntu1
hwdata	0.394-1build1
hyphen-en-ca	0.10ubuntu3
hyphen-en-gb	1:25.2.3-1build1
hyphen-en-us	2.8.8-7build4
hypridle	0.1.7-2
hyprland	0.53.3+ds-4
hyprland-qtutils	0.1.5-1build1
hyprlock	0.9.2-1build4
hyprpaper	0.8.3-1
hyprpicker	0.4.6-1
i2c-tools	4.4-2build3
i965-va-driver:amd64	2.4.1+dfsg1-2build1
ibus	1.5.34~rc2-1
ibus-data	1.5.34~rc2-1
ibus-gtk:amd64	1.5.34~rc2-1
ibus-gtk3:amd64	1.5.34~rc2-1
ibus-gtk4:amd64	1.5.34~rc2-1
ibus-table	1.17.16-1build1
ibus-table-cangjie-big	1.8.14-1build1
ibus-table-cangjie3	1.8.14-1build1
ibus-table-cangjie5	1.8.14-1build1
ibverbs-providers:amd64	61.0-2ubuntu3
ieee-data	20240722build1
iio-sensor-proxy	3.8-1
im-config	0.62
imagemagick	8:7.1.2.18+dfsg1-1
imagemagick-6-common	8:6.9.12.98+dfsg1-5.2build2
imagemagick-7-common	8:7.1.2.18+dfsg1-1
imagemagick-7.q16	8:7.1.2.18+dfsg1-1
inetutils-telnet	2:2.7-2ubuntu1.1
info	7.2-5ubuntu2
init	1.69
init-system-helpers	1.69
initramfs-tools	0.151ubuntu1
initramfs-tools-bin	0.151ubuntu1
initramfs-tools-core	0.151ubuntu1
inotify-tools	4.25.9.0-1
inputattach	1:1.8.1-2build2
install-info	7.2-5ubuntu2
intel-media-va-driver:amd64	26.1.2+dfsg1-1
intel-microcode	3.20260210.1ubuntu2
ipp-usb	0.9.31-1
iproute2	6.19.0-1ubuntu1
iptables	1.8.11-2ubuntu3
iputils-ping	3:20250605-1ubuntu1
iputils-tracepath	3:20250605-1ubuntu1
ipxe-qemu	1.21.1+git-20250829.969ce2c55+dfsg-3ubuntu2
ipxe-qemu-256k-compat-efi-roms	1.0.0+git-20150424.a25a16d-0ubuntu7
isa-support:amd64	27ubuntu2
iso-codes	4.20.1-1
iucode-tool	2.3.1-3build2
iw	6.17-1
java-common	0.77
javascript-common	12+nmu1build1
jq	1.8.1-4ubuntu2
kaccounts-providers	4:25.12.3-0ubuntu1
kactivitymanagerd	6.6.4-0ubuntu1
kbd	2.7.1-2ubuntu2
kde-style-breeze	4:6.6.4-0ubuntu1
kde-style-breeze-data	4:6.6.4-0ubuntu1
kde-style-breeze-qt5	4:6.6.4-0ubuntu1
kded6	6.24.0-0ubuntu1
kdenlive	4:25.12.3-0ubuntu1
kdenlive-data	4:25.12.3-0ubuntu1
kdialog	4:25.12.3-0ubuntu1
kdump-tools	1:1.10.7ubuntu3
keditbookmarks	25.12.3-0ubuntu1
kexec-tools	1:2.0.32-3ubuntu1
keyboard-configuration	1.237ubuntu3
keyboxd	2.4.4-2ubuntu17.4
kf6-breeze-icon-theme	6.24.0-0ubuntu1
kio6	6.24.0-0ubuntu1
kitty	0.45.0-1build1
kitty-doc	0.45.0-1build1
kitty-shell-integration	0.45.0-1build1
kitty-terminfo	0.45.0-1build1
klibc-utils	2.0.14-1ubuntu2
kmod	34.2-2ubuntu2
krb5-locales	1.22.1-2ubuntu4.1
kwallet6	6.24.0-0ubuntu1
kwayland-data	4:5.115.0-0ubuntu5
kwayland-integration:amd64	4:6.6.4-0ubuntu1
kwayland5-data	4:5.116.0-0ubuntu7
kwin-style-breeze	4:6.6.4-0ubuntu1
language-pack-en	1:26.04+20260417
language-pack-en-base	1:26.04+20260417
language-pack-gnome-en	1:26.04+20260417
language-pack-gnome-en-base	1:26.04+20260417
language-selector-common	0.228build1
language-selector-gnome	0.228build1
laptop-detect	0.16+nmu1build1
latexmk	1:4.87~ds-1
ldap-utils	2.6.10+dfsg-1ubuntu5
less	668-1build1
lib3mf1t64:amd64	1.8.1+ds-6
liba52-0.7.4:amd64	0.7.4-22
libaa1:amd64	1.4p5-51.1build1
libaacs0:amd64	0.11.1-4build1
libabsl20260107:amd64	20260107.0-4
libabw-0.1-1:amd64	0.1.3-1build6
libaccounts-glib0:amd64	1.27-3
libaccounts-qt6-1:amd64	1.17-4ubuntu2
libaccountsservice0:amd64	23.13.9-8ubuntu5.2
libacl1:amd64	2.3.2-2
libada-url0-3:amd64	3.4.3-1
libadwaita-1-0:amd64	1.9.0-0ubuntu1
libadwaitaqt6-1:amd64	1.4.2-3build6
libadwaitaqt6priv1:amd64	1.4.2-3build6
libaec0:amd64	1.1.5-1
libaio1t64:amd64	0.3.113-8build1
libalgorithm-diff-perl	1.201-1
libalgorithm-diff-xs-perl	0.04-9
libalgorithm-merge-perl	0.08-5
libao-common	1.2.2+20180113-1.2ubuntu2
libao4:amd64	1.2.2+20180113-1.2ubuntu2
libaom3:amd64	3.13.1-2
libapache-pom-java	33-2build1
libapache2-mod-php	2:8.5+99ubuntu1
libapache2-mod-php8.3	8.3.6-0ubuntu0.24.04.8
libapache2-mod-php8.5	8.5.4-0ubuntu1.2
libapparmor1:amd64	5.0.0~beta1-0ubuntu7
